"REF_DATE","GEO","Products and product groups","VALUE"
"2018-04","Canada","Food","144.8"
"2018-04","Canada","Shelter","140.3"
"2018-04","Newfoundland and Labrador","Food","146.2"
"2018-04","Newfoundland and Labrador","Shelter","159.0"
"2018-04","St. John's, Newfoundland and Labrador","Shelter","154.7"
"2018-04","Prince Edward Island","Food","147.1"
"2018-04","Prince Edward Island","Shelter","138.2"
"2018-04","Charlottetown and Summerside, Prince Edward Island","Shelter","134.8"
"2018-04","Nova Scotia","Food","149.4"
"2018-04","Nova Scotia","Shelter","145.1"
"2018-04","Halifax, Nova Scotia","Shelter","139.7"
"2018-04","New Brunswick","Food","150.9"
"2018-04","New Brunswick","Shelter","136.6"
"2018-04","Saint John, New Brunswick","Shelter","139.0"
"2018-04","Quebec","Food","144.7"
"2018-04","Quebec","Shelter","132.4"
"2018-04","Québec, Quebec","Shelter","132.2"
"2018-04","Montréal, Quebec","Shelter","131.3"
"2018-04","Ontario","Food","147.0"
"2018-04","Ontario","Shelter","141.9"
"2018-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Shelter","137.6"
"2018-04","Toronto, Ontario","Shelter","144.8"
"2018-04","Thunder Bay, Ontario","Shelter","119.4"
"2018-04","Manitoba","Food","143.3"
"2018-04","Manitoba","Shelter","147.4"
"2018-04","Winnipeg, Manitoba","Shelter","145.4"
"2018-04","Saskatchewan","Food","147.0"
"2018-04","Saskatchewan","Shelter","166.8"
"2018-04","Regina, Saskatchewan","Shelter","167.9"
"2018-04","Saskatoon, Saskatchewan","Shelter","166.6"
"2018-04","Alberta","Food","142.7"
"2018-04","Alberta","Shelter","168.5"
"2018-04","Edmonton, Alberta","Shelter","168.8"
"2018-04","Calgary, Alberta","Shelter","169.6"
"2018-04","British Columbia","Food","139.5"
"2018-04","British Columbia","Shelter","121.9"
"2018-04","Vancouver, British Columbia","Shelter","128.0"
"2018-04","Victoria, British Columbia","Shelter","115.9"
"2018-04","Whitehorse, Yukon","Food","132.0"
"2018-04","Whitehorse, Yukon","Shelter","152.9"
"2018-04","Yellowknife, Northwest Territories","Food","142.3"
"2018-04","Yellowknife, Northwest Territories","Shelter","156.1"
"2018-10","Canada","Food","144.6"
"2018-10","Canada","Shelter","142.0"
"2018-10","Newfoundland and Labrador","Food","144.0"
"2018-10","Newfoundland and Labrador","Shelter","163.8"
"2018-10","St. John's, Newfoundland and Labrador","Shelter","158.4"
"2018-10","Prince Edward Island","Food","147.2"
"2018-10","Prince Edward Island","Shelter","139.9"
"2018-10","Charlottetown and Summerside, Prince Edward Island","Shelter","136.7"
"2018-10","Nova Scotia","Food","148.9"
"2018-10","Nova Scotia","Shelter","147.7"
"2018-10","Halifax, Nova Scotia","Shelter","141.7"
"2018-10","New Brunswick","Food","149.9"
"2018-10","New Brunswick","Shelter","138.9"
"2018-10","Saint John, New Brunswick","Shelter","141.1"
"2018-10","Quebec","Food","143.8"
"2018-10","Quebec","Shelter","133.5"
"2018-10","Québec, Quebec","Shelter","132.2"
"2018-10","Montréal, Quebec","Shelter","133.2"
"2018-10","Ontario","Food","146.3"
"2018-10","Ontario","Shelter","143.7"
"2018-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Shelter","139.8"
"2018-10","Toronto, Ontario","Shelter","146.8"
"2018-10","Thunder Bay, Ontario","Shelter","120.7"
"2018-10","Manitoba","Food","144.8"
"2018-10","Manitoba","Shelter","150.8"
"2018-10","Winnipeg, Manitoba","Shelter","148.7"
"2018-10","Saskatchewan","Food","146.8"
"2018-10","Saskatchewan","Shelter","168.9"
"2018-10","Regina, Saskatchewan","Shelter","169.4"
"2018-10","Saskatoon, Saskatchewan","Shelter","168.8"
"2018-10","Alberta","Food","144.5"
"2018-10","Alberta","Shelter","169.5"
"2018-10","Edmonton, Alberta","Shelter","170.5"
"2018-10","Calgary, Alberta","Shelter","169.4"
"2018-10","British Columbia","Food","140.1"
"2018-10","British Columbia","Shelter","123.8"
"2018-10","Vancouver, British Columbia","Shelter","129.9"
"2018-10","Victoria, British Columbia","Shelter","118.3"
"2018-10","Whitehorse, Yukon","Food","128.9"
"2018-10","Whitehorse, Yukon","Shelter","155.2"
"2018-10","Yellowknife, Northwest Territories","Food","141.2"
