location,naturalized_citizens,non_naturalized_immigrants,total_immigrant_population,total_population
Canada,6101105,2260400,8361505,36328475
Ontario,3195945,1010640,4206585,14031755
British Columbia,1039820,385895,1425715,4915940
Quebec,898110,312485,1210595,8308480
Alberta,650795,320180,970975,4177715
Manitoba,160495,97125,257620,1307190
Saskatchewan,71880,65735,137615,1103205
Nova Scotia,41630,29940,71570,955855
New Brunswick,22040,22085,44125,759195
Newfoundland and Labrador,8245,6005,14250,502100
Prince Edward Island,5405,6360,11765,150480
Yukon,3270,2110,5380,39585
Northwest Territories,2665,1485,4150,40380
Nunavut,820,345,1165,36605
