REF_DATE,GEO,NAICS,MEASURE,VALUE
2019-01,Newfoundland and Labrador,Construction [23],Average offered hourly wage,22.75
2019-01,Newfoundland and Labrador,Manufacturing [31-33],Average offered hourly wage,27.15
2019-01,Newfoundland and Labrador,Retail trade [44-45],Average offered hourly wage,13.5
2019-01,Newfoundland and Labrador,Health care and social assistance [62],Average offered hourly wage,26.75
2019-01,Prince Edward Island,Manufacturing [31-33],Average offered hourly wage,16.0
2019-01,Prince Edward Island,Retail trade [44-45],Average offered hourly wage,13.6
2019-01,Prince Edward Island,Health care and social assistance [62],Average offered hourly wage,17.8
2019-01,Nova Scotia,Construction [23],Average offered hourly wage,19.95
2019-01,Nova Scotia,Manufacturing [31-33],Average offered hourly wage,18.8
2019-01,Nova Scotia,Retail trade [44-45],Average offered hourly wage,14.2
2019-01,Nova Scotia,Health care and social assistance [62],Average offered hourly wage,22.1
2019-01,New Brunswick,Construction [23],Average offered hourly wage,17.8
2019-01,New Brunswick,Manufacturing [31-33],Average offered hourly wage,15.05
2019-01,New Brunswick,Retail trade [44-45],Average offered hourly wage,14.55
2019-01,New Brunswick,Health care and social assistance [62],Average offered hourly wage,19.0
2019-01,Quebec,Construction [23],Average offered hourly wage,24.25
2019-01,Quebec,Manufacturing [31-33],Average offered hourly wage,21.1
2019-01,Quebec,Retail trade [44-45],Average offered hourly wage,14.65
2019-01,Quebec,Health care and social assistance [62],Average offered hourly wage,20.55
2019-01,Ontario,Construction [23],Average offered hourly wage,23.75
2019-01,Ontario,Manufacturing [31-33],Average offered hourly wage,22.6
2019-01,Ontario,Retail trade [44-45],Average offered hourly wage,16.65
2019-01,Ontario,Health care and social assistance [62],Average offered hourly wage,25.1
2019-01,Manitoba,Construction [23],Average offered hourly wage,19.55
2019-01,Manitoba,Manufacturing [31-33],Average offered hourly wage,22.05
2019-01,Manitoba,Retail trade [44-45],Average offered hourly wage,15.85
2019-01,Manitoba,Health care and social assistance [62],Average offered hourly wage,23.45
2019-01,Saskatchewan,Construction [23],Average offered hourly wage,21.05
2019-01,Saskatchewan,Manufacturing [31-33],Average offered hourly wage,22.9
2019-01,Saskatchewan,Retail trade [44-45],Average offered hourly wage,14.8
2019-01,Saskatchewan,Health care and social assistance [62],Average offered hourly wage,24.95
2019-01,Alberta,Construction [23],Average offered hourly wage,27.45
2019-01,Alberta,Manufacturing [31-33],Average offered hourly wage,27.05
2019-01,Alberta,Retail trade [44-45],Average offered hourly wage,16.95
2019-01,Alberta,Health care and social assistance [62],Average offered hourly wage,23.05
2019-01,British Columbia,Construction [23],Average offered hourly wage,24.1
2019-01,British Columbia,Manufacturing [31-33],Average offered hourly wage,22.7
2019-01,British Columbia,Retail trade [44-45],Average offered hourly wage,16.0
2019-01,British Columbia,Health care and social assistance [62],Average offered hourly wage,24.7
2019-01,Yukon,Construction [23],Average offered hourly wage,31.1
2019-01,Yukon,Retail trade [44-45],Average offered hourly wage,18.15
2019-01,Yukon,Health care and social assistance [62],Average offered hourly wage,26.55
2019-01,Northwest Territories,Construction [23],Average offered hourly wage,34.65
2019-01,Northwest Territories,Retail trade [44-45],Average offered hourly wage,19.7
2019-01,Northwest Territories,Health care and social assistance [62],Average offered hourly wage,28.15
2019-04,Newfoundland and Labrador,Construction [23],Average offered hourly wage,18.85
2019-04,Newfoundland and Labrador,Manufacturing [31-33],Average offered hourly wage,20.85
2019-04,Newfoundland and Labrador,Retail trade [44-45],Average offered hourly wage,13.2
2019-04,Newfoundland and Labrador,Health care and social assistance [62],Average offered hourly wage,26.3
2019-04,Prince Edward Island,Manufacturing [31-33],Average offered hourly wage,15.8
2019-04,Prince Edward Island,Retail trade [44-45],Average offered hourly wage,13.7
2019-04,Prince Edward Island,Health care and social assistance [62],Average offered hourly wage,19.85
2019-04,Nova Scotia,Construction [23],Average offered hourly wage,19.15
2019-04,Nova Scotia,Manufacturing [31-33],Average offered hourly wage,18.25
2019-04,Nova Scotia,Retail trade [44-45],Average offered hourly wage,13.45
2019-04,Nova Scotia,Health care and social assistance [62],Average offered hourly wage,21.6
2019-04,New Brunswick,Construction [23],Average offered hourly wage,17.6
2019-04,New Brunswick,Manufacturing [31-33],Average offered hourly wage,16.45
2019-04,New Brunswick,Retail trade [44-45],Average offered hourly wage,12.75
2019-04,New Brunswick,Health care and social assistance [62],Average offered hourly wage,22.15
2019-04,Quebec,Construction [23],Average offered hourly wage,24.35
2019-04,Quebec,Manufacturing [31-33],Average offered hourly wage,20.6
2019-04,Quebec,Retail trade [44-45],Average offered hourly wage,14.65
2019-04,Quebec,Health care and social assistance [62],Average offered hourly wage,20.85
2019-04,Ontario,Construction [23],Average offered hourly wage,23.25
2019-04,Ontario,Manufacturing [31-33],Average offered hourly wage,22.35
2019-04,Ontario,Retail trade [44-45],Average offered hourly wage,15.8
2019-04,Ontario,Health care and social assistance [62],Average offered hourly wage,25.5
2019-04,Manitoba,Construction [23],Average offered hourly wage,20.95
2019-04,Manitoba,Manufacturing [31-33],Average offered hourly wage,21.6
2019-04,Manitoba,Retail trade [44-45],Average offered hourly wage,14.8
2019-04,Manitoba,Health care and social assistance [62],Average offered hourly wage,22.2
2019-04,Saskatchewan,Construction [23],Average offered hourly wage,22.5
2019-04,Saskatchewan,Manufacturing [31-33],Average offered hourly wage,23.4
2019-04,Saskatchewan,Retail trade [44-45],Average offered hourly wage,14.9
2019-04,Saskatchewan,Health care and social assistance [62],Average offered hourly wage,23.4
2019-04,Alberta,Construction [23],Average offered hourly wage,27.75
2019-04,Alberta,Manufacturing [31-33],Average offered hourly wage,26.75
2019-04,Alberta,Retail trade [44-45],Average offered hourly wage,16.95
